target,file,offset,MKDX English Mod 2023
Data\flash\data_jp\attract_01\attract_01tex.pac,attract_01-attract_01tex.pac\ATTRACT_PACK_01_01.dds,4194496,88d5dc248255a5e8c7ee590cfb642b1f
Data\flash\data_jp\attract_02\attract_02tex.pac,attract_02-attract_02tex.pac\ATTRACT_PACK_02_01.dds,4194528,f507fe69333754b31244f5d3e8832709
Data\flash\data_jp\attract_02\attract_02tex.pac,attract_02-attract_02tex.pac\ATTRACT_PACK_02_02.dds,20971872,992b2fb73856b1e27e24fd699a5f85c4
Data\flash\data_jp\attract_03\attract_03tex.pac,attract_03-attract_03tex.pac\ATTRACT_PACK_03_01.dds,4194528,73afbcf9ed0ad3b74a3d65562153bd01
Data\flash\data_jp\attract_03\attract_03tex.pac,attract_03-attract_03tex.pac\ATTRACT_PACK_03_02.dds,20971872,e69843bd9d7a5c61f2c88031baa09a33
Data\flash\data_jp\attract_04\attract_04tex.pac,attract_04-attract_04tex.pac\ATTRACT_PACK_04_01.dds,4194528,9a2a1ea7106788b49a339d493c698bcb
Data\flash\data_jp\attract_04\attract_04tex.pac,attract_04-attract_04tex.pac\ATTRACT_PACK_04_02.dds,19342304,bf4a0a83c55c80f769110168a8cab10a
Data\flash\data_jp\attract_bak\attract_baktex.pac,attract_bak-attract_baktex.pac\ATTRACT_PACK_BAK_01.dds,64,d5de17264eefef8a4bfbda53f6390167
Data\flash\data_jp\bun_lvup\bun_lvuptex.pac,bun_lvup-bun_lvuptex.pac\BUN_LVUP_PACK.dds,64,51dee42c88510acc1f53e22b40813fd1
Data\flash\data_jp\bun_pts\bun_ptstex.pac,bun_pts-bun_ptstex.pac\BUN_PTS_CLASS_PACK.dds,96,5ce1b87635b53794751bd0cc807dbfe0
Data\flash\data_jp\bun_pts\bun_ptstex.pac,bun_pts-bun_ptstex.pac\BUN_PTS_PACK.dds,4194528,bc37dd65edebb399f3e3b186fbbffa6c
Data\flash\data_jp\bun_search\bun_searchtex.pac,bun_search-bun_searchtex.pac\BUN_SEARCH_PACK.dds,1048768,b19836d3ca6a2a9c89c1446f4307f1c5
Data\flash\data_jp\bun_tips\bun_tipstex.pac,bun_tips-bun_tipstex.pac\BUN_TIPS_PACK.dds,64,d23c210ee3b4ec57a6c4a167e912160c
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_000.dds,832,7831720624c20d7f48dd6f709ebae902
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_001.dds,960960,afd75e2b509e261b32f944d4588ba0a8
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_002.dds,1921088,7078ad03ec17ac36fd6f3cb51189fc30
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_003.dds,2881216,5043a4672f8270e47def0ba9d76f3c24
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_004.dds,3841344,d0688b5678b6ef55a66fa7cbaa309126
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_005.dds,4801472,11736b129326dea4c9150ad6e47f2567
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_006.dds,5761600,5225374cc0b58b1c938509c59206f36f
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_007.dds,6721728,6803b7d12a41797ec32e1cfa9926a2ef
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_008.dds,7681856,1c5b92cf7673f1e9b34764705be1a6fa
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_009.dds,8641984,caf74dc86e938a3705d098af182542b8
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_010.dds,9602112,7f51445cb8dda52a19e356a75b1f1cce
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_011.dds,10562240,461747af9b651715ff1239d7173070f5
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_012.dds,11522368,f791650566f3aafa24eeac4ca62a93d0
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_013.dds,12482496,08b0671ff1c03cc32ba66fe2e7a49cc0
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_014.dds,13442624,dbfa3ec7808bb75e4111f960162a3f86
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_015.dds,14402752,cb5d6b42b617795e83560cc76dc788c4
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_016.dds,15362880,eb9bf3b25271fe66aa58ffcc907b9acc
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_017.dds,16323008,7b3f20d471abc1dc069a58319c702371
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_018.dds,17283136,44794ebc5a745d9e4351324466fd00a4
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_019.dds,18243264,d2175485c7f7917c7a77464a7db64048
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_020.dds,19203392,0a0974621ce5ddfc46d12da033af196e
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_021.dds,20163520,30f9d4df2d81c1b9b65f3faa769134a5
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_022.dds,21123648,3801eca065fd333306b8b2b4c62c2db5
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_023.dds,22083776,ac83b71241b8e22b94503a42330f5af0
